0,188
1,223
2,364
3,368
4,317
5,287
6,413
7,433
8,356
9,298
10,339
11,375
12,363
13,353
14,358
15,304
16,366
17,436
18,533
19,416
20,390
21,366
22,464
23,385
24,399
25,323
26,351
27,286
28,304
29,279
30,339
31,350
32,382
33,315
34,318
35,386
36,473
37,427
38,311
39,330
40,354
41,444
42,349
43,426
44,373
45,469
46,370
47,469
48,402
49,419
50,304
51,363
52,404
53,438
54,333
55,358
56,399
57,431
58,339
59,374
60,411
61,416
62,340
63,385
64,478
65,455
66,335
67,307
68,343
69,383
70,324
71,261
72,258
73,352
74,452
75,392
76,283
77,301
78,432
79,459
80,332
81,256
82,255
83,323
84,314
85,269
86,235
87,230
88,322
89,347
90,377
91,356
92,402
93,392
94,411
95,424
96,399
97,329
98,243
99,220
