0,79
1,90
2,25
3,43
4,40
5,86
6,18
7,36
8,94
9,92
10,79
11,15
12,23
13,46
14,16
15,88
16,99
17,65
18,16
19,89
20,79
21,79
22,34
23,60
24,37
25,72
26,43
27,78
28,37
29,29
30,22
31,20
32,47
33,97
34,87
35,84
36,8
37,15
38,90
39,63
40,56
41,35
42,79
43,24
44,82
45,38
46,92
47,57
48,87
49,26
50,93
51,48
52,7
53,36
54,79
55,97
56,84
57,27
58,85
59,44
60,10
61,37
62,91
63,99
64,57
65,59
66,95
67,66
68,15
69,6
70,42
71,50
72,77
73,70
74,5
75,40
76,92
77,87
78,25
79,12
80,93
81,84
82,61
83,31
84,5
85,8
86,51
87,58
88,37
89,63
90,23
91,76
92,59
93,52
94,79
95,66
96,53
97,67
98,72
99,24
